Timestamp (S),Arc Main Current (A),Arc Main Voltage (V),Arc Main Energy (J)
6.538,0.001787454,3.009,0.03284656
6.53825,0.001786738,,0.03284791
6.5385,0.001746007,,0.03284923
6.53875,0.001676029,,0.03285049
6.539,0.001574991,3.021,0.03285168
6.53925,0.001294822,,0.03285266
6.5395,0.001134991,,0.03285352
6.53975,0.00097918,,0.03285426
6.54,0.000839552,3.023,0.03285489
6.54025,0.000646867,,0.03285538
6.5405,0.000608362,,0.03285584
6.54075,0.000605557,,0.0328563
6.541,0.000624948,3.01,0.03285677
6.54125,0.00064906,,0.03285725
6.5415,0.000670738,,0.03285775
6.54175,0.000694869,,0.03285826
6.542,0.000736521,2.975,0.03285881
6.54225,0.00093508,,0.03285951
6.5425,0.001110988,,0.03286033
6.54275,0.001330053,,0.03286132
6.543,0.001564223,2.974,0.03286248
6.54325,0.001933115,,0.03286393
6.5435,0.00200408,,0.03286543
6.54375,0.001987053,,0.03286692
6.544,0.001904295,2.992,0.03286834
6.54425,0.001691689,,0.03286961
6.5445,0.001615451,,0.03287083
6.54475,0.001568988,,0.03287201
6.545,0.001551581,3.008,0.03287317
6.54525,0.001575987,,0.03287436
6.5455,0.001588198,,0.03287556
6.54575,0.001576002,,0.03287675
6.546,0.001519914,3.02,0.0328779
6.54625,0.0012584,,0.03287885
6.5465,0.001078206,,0.03287967
6.54675,0.000897647,,0.03288034
6.547,0.000739852,3.023,0.0328809
6.54725,0.000619728,,0.03288137
6.5475,0.000543528,,0.03288178
6.54775,0.000509725,,0.03288216
6.548,0.000508045,3.013,0.03288255
6.54825,0.000538289,,0.03288295
6.5485,0.000550955,,0.03288336
6.54875,0.000564276,,0.03288378
6.549,0.000584188,2.983,0.03288422
6.54925,0.000689421,,0.03288473
6.5495,0.000809645,,0.03288533
6.54975,0.000993066,,0.03288607
6.55,0.001231141,2.969,0.03288698
6.55025,0.001746975,,0.03288828
6.5505,0.001939365,,0.03288973
6.55075,0.002043767,,0.03289126
6.551,0.002055674,2.985,0.03289279
6.55125,0.001889289,,0.03289421
6.5515,0.001769787,,0.03289554
6.55175,0.001662618,,0.03289678
6.552,0.001593408,3.003,0.03289798
6.55225,0.001610208,,0.0328992
6.5525,0.001663652,,0.03290045
6.55275,0.00170352,,0.03290173
6.553,0.001696658,3.017,0.03290301
6.55325,0.00149032,,0.03290414
6.5535,0.001315726,,0.03290514
6.55375,0.001129211,,0.03290599
6.554,0.00095764,3.023,0.03290671
6.55425,0.000816773,,0.03290733
6.5545,0.0007136,,0.03290787
6.55475,0.000643897,,0.03290835
6.555,0.000601172,3.016,0.03290881
6.55525,0.000563943,,0.03290923
6.5555,0.00056484,,0.03290965
6.55575,0.000579352,,0.03291008
6.556,0.000602601,2.992,0.03291053
6.55625,0.000657479,,0.03291102
6.5565,0.000714563,,0.03291155
6.55675,0.000825006,,0.03291216
6.557,0.001003857,2.967,0.03291291
6.55725,0.001515937,,0.03291404
6.5575,0.001773251,,0.03291536
6.55775,0.001971345,,0.03291683
6.558,0.002079311,2.982,0.03291838
6.55825,0.002021325,,0.0329199
6.5585,0.001896674,,0.03292132
6.55875,0.001756271,,0.03292264
6.559,0.001645752,3,0.03292387
6.55925,0.001613368,,0.03292509
6.5595,0.001668977,,0.03292634
6.55975,0.001725264,,0.03292764
6.56,0.00174631,3.015,0.03292896
6.56025,0.00171126,,0.03293025
6.5605,0.001619158,,0.03293148
6.56075,0.001483534,,0.0329326
6.561,0.001324705,3.024,0.0329336
6.56125,0.001001466,,0.03293436
6.5615,0.000857993,,0.03293501
6.56175,0.000734404,,0.03293556
6.562,0.000632697,3.02,0.03293604
6.56225,0.000511647,,0.03293642
6.5625,0.00050088,,0.0329368
6.56275,0.00052214,,0.03293719
6.563,0.000559074,3.003,0.03293761
6.56325,0.000605828,,0.03293806
6.5635,0.00061791,,0.03293852
6.56375,0.000655376,,0.03293901
6.564,0.000745167,2.972,0.03293956
6.56425,0.001110523,,0.03294039
6.5645,0.00134932,,0.03294139
6.56475,0.001578697,,0.03294257
6.565,0.001758815,2.979,0.03294388
6.56525,0.001884639,,0.03294529
6.5655,0.001827868,,0.03294666
6.56575,0.001720485,,0.03294794
6.566,0.001601424,2.995,0.03294914
6.56625,0.001503594,,0.03295027
6.5665,0.001441465,,0.03295136
6.56675,0.001412061,,0.03295242
6.567,0.001402252,3.009,0.03295348
6.56725,0.001403491,,0.03295454
6.5675,0.001395048,,0.03295559
6.56775,0.001369693,,0.03295662
6.568,0.001317269,3.019,0.03295762
6.56825,0.001110566,,0.03295845
6.5685,0.000967549,,0.03295918
6.56875,0.000816517,,0.0329598
6.569,0.000676409,3.018,0.03296031
6.56925,0.000484118,,0.03296067
6.5695,0.000449504,,0.03296101
6.56975,0.000456912,,0.03296136
6.57,0.000490715,3.005,0.03296172
6.57025,0.000568575,,0.03296215
6.5705,0.000599089,,0.03296259
